raw_index,checklist_id,city,daypart,weather,canonical_filename,mapping_status,confidence,evidence,source_filename,source_part,sha256,repo_asset,source_archive_path
013,457,Toronto,Night,Snow,457-toronto-night-snow.png,PRIMARY_FOR_SLOT,HIGH,distinctive landmark/skyline visual match,raw-013__snowy_cityscape_with_skyline_at_night.png,1,f55fa2d3cb177c3500610df7f5aa779fc89de0114d3c83c96cc87c5a6028f8af,assets/city-backgrounds/v1/cities/toronto/night-snow.webp,04-manually-mapped-candidates/by-checklist-slot/457--toronto--night-snow/PRIMARY__raw-013__raw-013__snowy_cityscape_with_skyline_at_night.png
014,454,Beijing,Night,Snow,454-beijing-night-snow.png,PRIMARY_FOR_SLOT,LOW,best-fit visual match; generic or ambiguous skyline,raw-014__snowfall_over_a_quiet_cityscape.png,1,c034ba12c83a6c6e990ae7f1917d819befe3da840089b11759c476befda5c556,assets/city-backgrounds/v1/cities/beijing/night-snow.webp,04-manually-mapped-candidates/by-checklist-slot/454--beijing--night-snow/PRIMARY__raw-014__raw-014__snowfall_over_a_quiet_cityscape.png
015,461,Rio de Janeiro,Night,Snow,461-rio-de-janeiro-night-snow.png,PRIMARY_FOR_SLOT,LOW,best-fit visual match; generic or ambiguous skyline,raw-015__winter_cityscape_under_snowy_skies.png,1,afd43b282317bc155ae561b18964fef4d4ad67f1a268201844222494e874a9f3,assets/city-backgrounds/v1/cities/rio-de-janeiro/night-snow.webp,04-manually-mapped-candidates/by-checklist-slot/461--rio-de-janeiro--night-snow/PRIMARY__raw-015__raw-015__winter_cityscape_under_snowy_skies.png
016,464,Barcelona,Night,Snow,464-barcelona-night-snow.png,PRIMARY_FOR_SLOT,HIGH,source filename explicitly names the city,raw-016__snowy_winter_night_over_barcelona.png,1,76875e8f02a621b5a010380f80612ff139b319a21362d63fe5c727fb18e02e22,assets/city-backgrounds/v1/cities/barcelona/night-snow.webp,04-manually-mapped-candidates/by-checklist-slot/464--barcelona--night-snow/PRIMARY__raw-016__raw-016__snowy_winter_night_over_barcelona.png
017,465,Rome,Night,Snow,465-rome-night-snow.png,PRIMARY_FOR_SLOT,HIGH,distinctive landmark/skyline visual match,raw-017__snowy_winter_cityscape_with_historic_architecture.png,1,ac9cea800ba09df6f34c58e2d199ca84743eca146edbe85877213c16fa1ac6a2,assets/city-backgrounds/v1/cities/rome/night-snow.webp,04-manually-mapped-candidates/by-checklist-slot/465--rome--night-snow/PRIMARY__raw-017__raw-017__snowy_winter_cityscape_with_historic_architecture.png
018,463,Madrid,Night,Snow,463-madrid-night-snow.png,PRIMARY_FOR_SLOT,HIGH,distinctive landmark/skyline visual match,raw-018__snowy_cityscape_with_historic_dome_at_night.png,1,58ea44b8841f2df8bfa4abc966ff18d968d479b731f8d38546eae1566ed628c9,assets/city-backgrounds/v1/cities/madrid/night-snow.webp,04-manually-mapped-candidates/by-checklist-slot/463--madrid--night-snow/PRIMARY__raw-018__raw-018__snowy_cityscape_with_historic_dome_at_night.png
019,463,Madrid,Night,Snow,463-madrid-night-snow.png,DUPLICATE_FOR_SLOT,LOW,best-fit visual match; generic or ambiguous skyline,raw-019__winter_cityscape_with_snowy_rooftops.png,1,68baa1ea29bc82a40b117a072ff4143c1c98ff3f626597a6d34631d21a2b8980,assets/city-backgrounds/v1/duplicates/463/raw-019--madrid--night-snow.webp,04-manually-mapped-candidates/by-checklist-slot/463--madrid--night-snow/DUPLICATE-01__raw-019__raw-019__winter_cityscape_with_snowy_rooftops.png
020,458,Vancouver,Night,Snow,458-vancouver-night-snow.png,PRIMARY_FOR_SLOT,HIGH,distinctive landmark/skyline visual match,raw-020__snowy_cityscape_with_waterfront_reflections.png,1,3af57acfc9a656e2462a77f19b7f69d4f5e2a0d84da373d6e123df085a6a590b,assets/city-backgrounds/v1/cities/vancouver/night-snow.webp,04-manually-mapped-candidates/by-checklist-slot/458--vancouver--night-snow/PRIMARY__raw-020__raw-020__snowy_cityscape_with_waterfront_reflections.png
021,466,Milan,Night,Snow,466-milan-night-snow.png,PRIMARY_FOR_SLOT,HIGH,distinctive landmark/skyline visual match,raw-021__gothic_cathedral_in_snowy_winter_cityscape.png,1,840131afaf560f704c4fcd0a1a57e8968f79535059a0bde1bea5b46ea25d8431,assets/city-backgrounds/v1/cities/milan/night-snow.webp,04-manually-mapped-candidates/by-checklist-slot/466--milan--night-snow/PRIMARY__raw-021__raw-021__gothic_cathedral_in_snowy_winter_cityscape.png
022,453,Seoul,Night,Snow,453-seoul-night-snow.png,DUPLICATE_FOR_SLOT,HIGH,distinctive landmark/skyline visual match,raw-022__snowy_winter_city_nightscape_with_skyline.png,1,a78b48267976df2e63efa8a0192ffd7038aafd115a8cefda7e20009d1091fed4,assets/city-backgrounds/v1/duplicates/453/raw-022--seoul--night-snow.webp,04-manually-mapped-candidates/by-checklist-slot/453--seoul--night-snow/DUPLICATE-01__raw-022__raw-022__snowy_winter_city_nightscape_with_skyline.png
023,449,Shanghai,Night,Snow,449-shanghai-night-snow.png,PRIMARY_FOR_SLOT,HIGH,distinctive landmark/skyline visual match,raw-023__snowy_city_at_night_with_glowing_skyline.png,1,56d000f1d80472ab9fb4cc0000ecc4b2f3096c9db0335d7b9250f21fa92705ed,assets/city-backgrounds/v1/cities/shanghai/night-snow.webp,04-manually-mapped-candidates/by-checklist-slot/449--shanghai--night-snow/PRIMARY__raw-023__raw-023__snowy_city_at_night_with_glowing_skyline.png
024,447,Hong Kong,Night,Snow,447-hong-kong-night-snow.png,PRIMARY_FOR_SLOT,HIGH,distinctive landmark/skyline visual match,raw-024__snowy_winter_cityscape_with_skyline_reflections.png,1,6ae289af8c52f9e3722df8f8aa93be3fbed80866364fbbf99a24c4ed8b8a7a24,assets/city-backgrounds/v1/cities/hong-kong/night-snow.webp,04-manually-mapped-candidates/by-checklist-slot/447--hong-kong--night-snow/PRIMARY__raw-024__raw-024__snowy_winter_cityscape_with_skyline_reflections.png
025,456,Sydney,Night,Snow,456-sydney-night-snow.png,PRIMARY_FOR_SLOT,HIGH,source filename explicitly names the city,raw-025__snowy_winter_night_over_sydney_harbor.png,1,5da3ae30d8e71dbc972832a6ffa41428046c68ffe24d67240e9f9e09e3fc130b,assets/city-backgrounds/v1/cities/sydney/night-snow.webp,04-manually-mapped-candidates/by-checklist-slot/456--sydney--night-snow/PRIMARY__raw-025__raw-025__snowy_winter_night_over_sydney_harbor.png
026,448,Kyoto,Night,Snow,448-kyoto-night-snow.png,PRIMARY_FOR_SLOT,HIGH,distinctive landmark/skyline visual match,raw-026__snowy_night_in_a_japanese_town.png,1,8a10a231a225d4b97467ca30853fbd4305b9c140990c64b841d5fa992bb508b7,assets/city-backgrounds/v1/cities/kyoto/night-snow.webp,04-manually-mapped-candidates/by-checklist-slot/448--kyoto--night-snow/PRIMARY__raw-026__raw-026__snowy_night_in_a_japanese_town.png
027,442,Chicago,Night,Snow,442-chicago-night-snow.png,PRIMARY_FOR_SLOT,LOW,best-fit visual match; generic or ambiguous skyline,raw-027__snowy_cityscape_with_illuminated_skyscrapers.png,1,9df36624042c46de11940b8ff06f61b1e6f83d6ba1a924e661f43c3f7484b85e,assets/city-backgrounds/v1/cities/chicago/night-snow.webp,04-manually-mapped-candidates/by-checklist-slot/442--chicago--night-snow/PRIMARY__raw-027__raw-027__snowy_cityscape_with_illuminated_skyscrapers.png
028,450,London,Night,Snow,450-london-night-snow.png,DUPLICATE_FOR_SLOT,LOW,best-fit visual match; generic or ambiguous skyline,raw-028__winter_cityscape_with_shimmering_river_reflections.png,1,8e8dac01a59225afa38b03c15c03b6a47f2a0a412514e67d013923562efca423,assets/city-backgrounds/v1/duplicates/450/raw-028--london--night-snow.webp,04-manually-mapped-candidates/by-checklist-slot/450--london--night-snow/DUPLICATE-01__raw-028__raw-028__winter_cityscape_with_shimmering_river_reflections.png
029,454,Beijing,Night,Snow,454-beijing-night-snow.png,DUPLICATE_FOR_SLOT,LOW,best-fit visual match; generic or ambiguous skyline,raw-029__snowy_cityscape_at_night_with_skyscrapers.png,1,dcdab65e09528e96406a6fa61a2db7faeceb736abf5dc4d617dffc5491a1c50b,assets/city-backgrounds/v1/duplicates/454/raw-029--beijing--night-snow.webp,04-manually-mapped-candidates/by-checklist-slot/454--beijing--night-snow/DUPLICATE-01__raw-029__raw-029__snowy_cityscape_at_night_with_skyscrapers.png
030,452,San Francisco,Night,Snow,452-san-francisco-night-snow.png,PRIMARY_FOR_SLOT,HIGH,distinctive landmark/skyline visual match,raw-030__snowy_cityscape_with_bridge_and_tower.png,1,ff2a2dd1c1a02f64c8999d4c56e1dc84aea71e7247d6f56ef4f3cd9f752df18a,assets/city-backgrounds/v1/cities/san-francisco/night-snow.webp,04-manually-mapped-candidates/by-checklist-slot/452--san-francisco--night-snow/PRIMARY__raw-030__raw-030__snowy_cityscape_with_bridge_and_tower.png
031,455,Dubai,Night,Snow,455-dubai-night-snow.png,PRIMARY_FOR_SLOT,HIGH,distinctive landmark/skyline visual match,raw-031__snowy_cityscape_under_a_winter_night_sky.png,1,cdc3d220e2ae889105dac5db62c021d7175f1763216eb2a24db2a8c7dbc29243,assets/city-backgrounds/v1/cities/dubai/night-snow.webp,04-manually-mapped-candidates/by-checklist-slot/455--dubai--night-snow/PRIMARY__raw-031__raw-031__snowy_cityscape_under_a_winter_night_sky.png
032,451,Singapore,Night,Snow,451-singapore-night-snow.png,PRIMARY_FOR_SLOT,HIGH,distinctive landmark/skyline visual match,raw-032__snowy_serenity_at_marina_bay.png,1,6bcdc2414f46b34bf08dd4abdc6fe03437ac39120f6f90aef8c0d562206f3dff,assets/city-backgrounds/v1/cities/singapore/night-snow.webp,04-manually-mapped-candidates/by-checklist-slot/451--singapore--night-snow/PRIMARY__raw-032__raw-032__snowy_serenity_at_marina_bay.png
033,444,Boston,Night,Snow,444-boston-night-snow.png,PRIMARY_FOR_SLOT,LOW,best-fit visual match; generic or ambiguous skyline,raw-033__snowy_cityscape_with_skyline_glow.png,1,09c4015b802f406642fb991e3096f39ad9b4b58b1402ef30451198f626a54fc4,assets/city-backgrounds/v1/cities/boston/night-snow.webp,04-manually-mapped-candidates/by-checklist-slot/444--boston--night-snow/PRIMARY__raw-033__raw-033__snowy_cityscape_with_skyline_glow.png
034,441,Los Angeles,Night,Snow,441-los-angeles-night-snow.png,PRIMARY_FOR_SLOT,LOW,best-fit visual match; generic or ambiguous skyline,raw-034__snowy_cityscape_at_night.png,1,7ff47161bb8d66c69a100273174ce7e7498f6ef3c58cbd5f55ad5e1f7617bec5,assets/city-backgrounds/v1/cities/los-angeles/night-snow.webp,04-manually-mapped-candidates/by-checklist-slot/441--los-angeles--night-snow/PRIMARY__raw-034__raw-034__snowy_cityscape_at_night.png
035,438,Kuala Lumpur,Day,Snow,438-kuala-lumpur-day-snow.png,PRIMARY_FOR_SLOT,HIGH,distinctive landmark/skyline visual match,raw-035__snowfall_over_a_modern_snow_covered_city.png,1,f49cfcfb6c515ab094d5088204a8055fa2cc711588082fea32ec208dc5ddaf88,assets/city-backgrounds/v1/cities/kuala-lumpur/day-snow.webp,04-manually-mapped-candidates/by-checklist-slot/438--kuala-lumpur--day-snow/PRIMARY__raw-035__raw-035__snowfall_over_a_modern_snow_covered_city.png
036,446,Paris,Night,Snow,446-paris-night-snow.png,DUPLICATE_FOR_SLOT,HIGH,source filename explicitly names the city,raw-036__snowy_parisian_night_with_eiffel_tower.png,1,ea0433c77b9cd9711c61db6f24f782237d771cb43e2dcad46b37250183d33150,assets/city-backgrounds/v1/duplicates/446/raw-036--paris--night-snow.webp,04-manually-mapped-candidates/by-checklist-slot/446--paris--night-snow/DUPLICATE-01__raw-036__raw-036__snowy_parisian_night_with_eiffel_tower.png
037,419,Mexico City,Day,Snow,419-mexico-city-day-snow.png,PRIMARY_FOR_SLOT,MEDIUM,manual visual skyline/architecture match,raw-037__snowy_city_skyline_in_winter_haze.png,1,a3a825bfc38b55697331a03397195d4fe2ef15aadbac572f7d2cbac3158308ee,assets/city-backgrounds/v1/cities/mexico-city/day-snow.webp,04-manually-mapped-candidates/by-checklist-slot/419--mexico-city--day-snow/PRIMARY__raw-037__raw-037__snowy_city_skyline_in_winter_haze.png
038,442,Chicago,Night,Snow,442-chicago-night-snow.png,DUPLICATE_FOR_SLOT,LOW,best-fit visual match; generic or ambiguous skyline,raw-038__snowy_cityscape_under_winter_night_sky.png,1,a575dc89b0083b001d1fd968f5656dcc007862f97b67d6b717cc171c5adc8b2c,assets/city-backgrounds/v1/duplicates/442/raw-038--chicago--night-snow.webp,04-manually-mapped-candidates/by-checklist-slot/442--chicago--night-snow/DUPLICATE-01__raw-038__raw-038__snowy_cityscape_under_winter_night_sky.png
039,445,Tokyo,Night,Snow,445-tokyo-night-snow.png,PRIMARY_FOR_SLOT,HIGH,distinctive landmark/skyline visual match,raw-039__snowy_cityscape_with_illuminated_tower.png,1,b797090cb393a89633267d3c489739d3f29dae35c4c0adff81bd929e8ef29a36,assets/city-backgrounds/v1/cities/tokyo/night-snow.webp,04-manually-mapped-candidates/by-checklist-slot/445--tokyo--night-snow/PRIMARY__raw-039__raw-039__snowy_cityscape_with_illuminated_tower.png
040,440,Manila,Day,Snow,440-manila-day-snow.png,PRIMARY_FOR_SLOT,LOW,best-fit visual match; generic or ambiguous skyline,raw-040__winter_cityscape_with_snow_and_skyline.png,1,49fd58095eddea084b4eb99190d976771fa78e5cd4ca0a99be289461b93c97dd,assets/city-backgrounds/v1/cities/manila/day-snow.webp,04-manually-mapped-candidates/by-checklist-slot/440--manila--day-snow/PRIMARY__raw-040__raw-040__winter_cityscape_with_snow_and_skyline.png
041,429,Vienna,Day,Snow,429-vienna-day-snow.png,PRIMARY_FOR_SLOT,HIGH,distinctive landmark/skyline visual match,raw-041__snowy_winter_cityscape_with_gothic_spires.png,1,f0409ca26ed6d104fbfdf687b8b76f972bb718c79882b29788801d16e6e04538,assets/city-backgrounds/v1/cities/vienna/day-snow.webp,04-manually-mapped-candidates/by-checklist-slot/429--vienna--day-snow/PRIMARY__raw-041__raw-041__snowy_winter_cityscape_with_gothic_spires.png
042,432,Cairo,Day,Snow,432-cairo-day-snow.png,PRIMARY_FOR_SLOT,HIGH,distinctive landmark/skyline visual match,raw-042__snowy_cityscape_with_historic_mosque_and_river.png,1,04bef19b672d41a7532d3eb98f7d90788054e82d5eb417e5b20e3fd409d20bf8,assets/city-backgrounds/v1/cities/cairo/day-snow.webp,04-manually-mapped-candidates/by-checklist-slot/432--cairo--day-snow/PRIMARY__raw-042__raw-042__snowy_cityscape_with_historic_mosque_and_river.png
043,433,Cape Town,Day,Snow,433-cape-town-day-snow.png,PRIMARY_FOR_SLOT,HIGH,distinctive landmark/skyline visual match,raw-043__snowy_cityscape_with_mountains_and_harbor.png,1,37e5aa298bfe2e8d14ac7bb489947f59e42289fc8c97605fc3c441ca810a316c,assets/city-backgrounds/v1/cities/cape-town/day-snow.webp,04-manually-mapped-candidates/by-checklist-slot/433--cape-town--day-snow/PRIMARY__raw-043__raw-043__snowy_cityscape_with_mountains_and_harbor.png
044,435,Bangkok,Day,Snow,435-bangkok-day-snow.png,PRIMARY_FOR_SLOT,HIGH,distinctive landmark/skyline visual match,raw-044__snowy_cityscape_with_temple_rooftops.png,1,bb7f22813b3213b62d0a5937d5535a3b9c10fc2e648b13398cae6b1c642d0388,assets/city-backgrounds/v1/cities/bangkok/day-snow.webp,04-manually-mapped-candidates/by-checklist-slot/435--bangkok--day-snow/PRIMARY__raw-044__raw-044__snowy_cityscape_with_temple_rooftops.png
045,431,Istanbul,Day,Snow,431-istanbul-day-snow.png,PRIMARY_FOR_SLOT,HIGH,distinctive landmark/skyline visual match,raw-045__winter_cityscape_with_mosque_and_bridge.png,1,305361991d2105c624b2c9018ba1db77a6fbfc1bb0d0972a606f780700a9be94,assets/city-backgrounds/v1/cities/istanbul/day-snow.webp,04-manually-mapped-candidates/by-checklist-slot/431--istanbul--day-snow/PRIMARY__raw-045__raw-045__winter_cityscape_with_mosque_and_bridge.png
046,430,Prague,Day,Snow,430-prague-day-snow.png,PRIMARY_FOR_SLOT,HIGH,source filename explicitly names the city,raw-046__winter_snowfall_over_prague_s_historic_skyline.png,1,7e4b559b7de5cc32cd87c338cea197fbb6b8595c7ff11f78af1301582d31c804,assets/city-backgrounds/v1/cities/prague/day-snow.webp,04-manually-mapped-candidates/by-checklist-slot/430--prague--day-snow/PRIMARY__raw-046__raw-046__winter_snowfall_over_prague_s_historic_skyline.png
047,420,São Paulo,Day,Snow,420-sao-paulo-day-snow.png,PRIMARY_FOR_SLOT,LOW,best-fit visual match; generic or ambiguous skyline,raw-047__snowy_cityscape_under_overcast_skies.png,1,bd701c324d29806a533e97aa2ff731a2b84c419d0d7cc64f8bc12f57d1f28c97,assets/city-backgrounds/v1/cities/sao-paulo/day-snow.webp,04-manually-mapped-candidates/by-checklist-slot/420--sao-paulo--day-snow/PRIMARY__raw-047__raw-047__snowy_cityscape_under_overcast_skies.png
048,427,Berlin,Day,Snow,427-berlin-day-snow.png,PRIMARY_FOR_SLOT,HIGH,source filename explicitly names the city,raw-048__winter_snowfall_over_berlin_cityscape.png,1,75e07579d86182212e09024b5a8d5bc7fc52d061db8ca20a87e719be08f91488,assets/city-backgrounds/v1/cities/berlin/day-snow.webp,04-manually-mapped-candidates/by-checklist-slot/427--berlin--day-snow/PRIMARY__raw-048__raw-048__winter_snowfall_over_berlin_cityscape.png
049,428,Amsterdam,Day,Snow,428-amsterdam-day-snow.png,PRIMARY_FOR_SLOT,HIGH,distinctive landmark/skyline visual match,raw-049__snowy_city_canals_in_winter_serenity.png,1,0734c27f20c9c204bbfb4576d0aa7bd3a17f8e25f67adcec51034894a9d023aa,assets/city-backgrounds/v1/cities/amsterdam/day-snow.webp,04-manually-mapped-candidates/by-checklist-slot/428--amsterdam--day-snow/PRIMARY__raw-049__raw-049__snowy_city_canals_in_winter_serenity.png
050,429,Vienna,Day,Snow,429-vienna-day-snow.png,DUPLICATE_FOR_SLOT,LOW,best-fit visual match; generic or ambiguous skyline,raw-050__snowy_urban_cityscape_with_historic_architecture.png,1,1623c31948da7eda82a3fc93382f142955da78295375ad51b02b5c8f8675fc7e,assets/city-backgrounds/v1/duplicates/429/raw-050--vienna--day-snow.webp,04-manually-mapped-candidates/by-checklist-slot/429--vienna--day-snow/DUPLICATE-01__raw-050__raw-050__snowy_urban_cityscape_with_historic_architecture.png
051,426,Milan,Day,Snow,426-milan-day-snow.png,PRIMARY_FOR_SLOT,HIGH,source filename explicitly names the city,raw-051__snow_covered_milan_under_a_gray_sky.png,1,f75872ea3a48745acc42a9e11edac8bf82cf0534c723ffb94edab6db546b4a8b,assets/city-backgrounds/v1/cities/milan/day-snow.webp,04-manually-mapped-candidates/by-checklist-slot/426--milan--day-snow/PRIMARY__raw-051__raw-051__snow_covered_milan_under_a_gray_sky.png
052,421,Rio de Janeiro,Day,Snow,421-rio-de-janeiro-day-snow.png,PRIMARY_FOR_SLOT,HIGH,distinctive landmark/skyline visual match,raw-052__snowy_cityscape_with_mountain_backdrop.png,1,a429aa5c91773839b219396e1c1cba5eef73ed2c1b4dd1f471a85643962ba842,assets/city-backgrounds/v1/cities/rio-de-janeiro/day-snow.webp,04-manually-mapped-candidates/by-checklist-slot/421--rio-de-janeiro--day-snow/PRIMARY__raw-052__raw-052__snowy_cityscape_with_mountain_backdrop.png
053,423,Madrid,Day,Snow,423-madrid-day-snow.png,PRIMARY_FOR_SLOT,LOW,best-fit visual match; generic or ambiguous skyline,raw-053__snowy_cityscape_with_distant_landmarks.png,1,4e137e7e85ddc02eeac8f8b44f19256c43a187cf54cd1bfbd4f9a11ca8bb3b5a,assets/city-backgrounds/v1/cities/madrid/day-snow.webp,04-manually-mapped-candidates/by-checklist-slot/423--madrid--day-snow/PRIMARY__raw-053__raw-053__snowy_cityscape_with_distant_landmarks.png
054,419,Mexico City,Day,Snow,419-mexico-city-day-snow.png,DUPLICATE_FOR_SLOT,LOW,best-fit visual match; generic or ambiguous skyline,raw-054__snowy_urban_winter_morning.png,1,f4aa1c53cf26c4f36070c40645773d4cbc9885ea9728bc81e11525011c905ce0,assets/city-backgrounds/v1/duplicates/419/raw-054--mexico-city--day-snow.webp,04-manually-mapped-candidates/by-checklist-slot/419--mexico-city--day-snow/DUPLICATE-01__raw-054__raw-054__snowy_urban_winter_morning.png
055,417,Toronto,Day,Snow,417-toronto-day-snow.png,PRIMARY_FOR_SLOT,HIGH,source filename explicitly names the city,raw-055__snowy_toronto_skyline_in_winter_haze.png,1,3655c2424110555c8ede81970882d6d09272fdc02bf6a0fa0a2770dad691f408,assets/city-backgrounds/v1/cities/toronto/day-snow.webp,04-manually-mapped-candidates/by-checklist-slot/417--toronto--day-snow/PRIMARY__raw-055__raw-055__snowy_toronto_skyline_in_winter_haze.png
056,422,Buenos Aires,Day,Snow,422-buenos-aires-day-snow.png,PRIMARY_FOR_SLOT,LOW,best-fit visual match; generic or ambiguous skyline,raw-056__snowy_cityscape_with_monumental_architecture.png,1,d9089839e08afff2b048bb43f5594dd988789239daad3afc93c065bfad6f6783,assets/city-backgrounds/v1/cities/buenos-aires/day-snow.webp,04-manually-mapped-candidates/by-checklist-slot/422--buenos-aires--day-snow/PRIMARY__raw-056__raw-056__snowy_cityscape_with_monumental_architecture.png
057,425,Rome,Day,Snow,425-rome-day-snow.png,PRIMARY_FOR_SLOT,HIGH,source filename explicitly names the city,raw-057__snowy_winter_cityscape_of_rome.png,1,1a52ba118b55bfe95442e982a32c52efcc9b6a22ca751c44ba6f8802f39f984c,assets/city-backgrounds/v1/cities/rome/day-snow.webp,04-manually-mapped-candidates/by-checklist-slot/425--rome--day-snow/PRIMARY__raw-057__raw-057__snowy_winter_cityscape_of_rome.png
